concept;prefLabel;narrowMatch;broadMatch;closeMatch;altLabel
http://example.org/skos/libri_thesauri_102;Gdynia Literary Prize;;;http://www.wikidata.org/entity/Q5529403,https:/bn-lit-skos.lab.dariah.pl/scheme/Nagroda_Literacka_Gdynia;Nagroda_Literacka_Gdynia@pl
http://example.org/skos/libri_thesauri_101;Józef Mackiewicz Literary Award;;;http://www.wikidata.org/entity/Q11789096,https:/bn-lit-skos.lab.dariah.pl/scheme/Nagroda_Literacka_im_Jozefa_Mackiewicza;Nagroda_Literacka_im_Jozefa_Mackiewicza@pl
http://example.org/skos/libri_thesauri_100;The Julian Tuwim Literary Award;;;http://www.wikidata.org/entity/Q18649948,https:/bn-lit-skos.lab.dariah.pl/scheme/Nagroda_Literacka_im_Juliana_Tuwima;Nagroda_Literacka_im_Juliana_Tuwima@pl
http://example.org/skos/libri_thesauri_99;Marek Nowakowski Literary Award;;;http://www.wikidata.org/entity/Q56328818,https:/bn-lit-skos.lab.dariah.pl/scheme/Nagroda_Literacka_im_Marka_Nowakowskiego;Nagroda_Literacka_im_Marka_Nowakowskiego@pl
http://example.org/skos/libri_thesauri_98;Gombrowicz Award;;;http://www.wikidata.org/entity/Q60861524,https:/bn-lit-skos.lab.dariah.pl/scheme/Nagroda_Literacka_im_Witolda_Gombrowicza;Nagroda_Literacka_im_Witolda_Gombrowicza@pl
http://example.org/skos/libri_thesauri_95;Yellow Poulaines Award;;;http://www.wikidata.org/entity/Q117118335,https:/bn-lit-skos.lab.dariah.pl/scheme/Nagroda_Zoltej_Cizemki;Nagroda_Zoltej_Cizemki@pl
http://example.org/skos/libri_thesauri_94;Neustadt International Prize for Literature;;;http://www.wikidata.org/entity/Q580574,https:/bn-lit-skos.lab.dariah.pl/scheme/Neustadt_International_Prize_for_Literature;Neustadt_International_Prize_for_Literature@pl
http://example.org/skos/libri_thesauri_87;lumières;;;http://www.wikidata.org/entity/Q2512021,https:/bn-lit-skos.lab.dariah.pl/scheme/Oswiecenie;Oswiecenie@pl
http://example.org/skos/libri_thesauri_80;Writing;;;http://www.wikidata.org/entity/Q19157931,https:/bn-lit-skos.lab.dariah.pl/scheme/Pisarstwo;Pisarstwo@pl
http://example.org/skos/libri_thesauri_79;Polish writers;;;http://www.wikidata.org/entity/Q19157934,https:/bn-lit-skos.lab.dariah.pl/scheme/Pisarze_polscy;Pisarze_polscy@pl
http://example.org/skos/libri_thesauri_77;Literary subject;;;http://www.wikidata.org/entity/Q11820489,https:/bn-lit-skos.lab.dariah.pl/scheme/Podmiot_literacki;Podmiot_literacki@pl
http://example.org/skos/libri_thesauri_75;English poets;;;http://www.wikidata.org/entity/Q59558549,https:/bn-lit-skos.lab.dariah.pl/scheme/Poeci_angielscy;Poeci_angielscy@pl
http://example.org/skos/libri_thesauri_73;Literary generation;;;http://www.wikidata.org/entity/Q11821256,https:/bn-lit-skos.lab.dariah.pl/scheme/Pokolenie_literackie;Pokolenie_literackie@pl
http://example.org/skos/libri_thesauri_70;philosophical novel;;;http://www.wikidata.org/entity/Q2016518,https:/bn-lit-skos.lab.dariah.pl/scheme/Powiastka_filozoficzna;Powiastka_filozoficzna@pl
