entity,source
Pierre-Paul Campagnet,Biblioteka Narodowa - kartoteka autorytatywna
Ewa Wampuszyc,Biblioteka Narodowa - kartoteka autorytatywna
Marek Skwara,Biblioteka Narodowa - kartoteka autorytatywna
Marta Skwara,Biblioteka Narodowa - kartoteka autorytatywna
Magdalena Leżoń,Biblioteka Narodowa - kartoteka autorytatywna
Leonid Matveevič Arinštejn,Biblioteka Narodowa - kartoteka autorytatywna
Petr Poslední,Biblioteka Narodowa - kartoteka autorytatywna
Bogusław R. Zagórski,Biblioteka Narodowa - kartoteka autorytatywna
Mirosława Iwasiewicz,Biblioteka Narodowa - kartoteka autorytatywna
Radosław Gajda,Biblioteka Narodowa - kartoteka autorytatywna
Martyna Czapiewska,Biblioteka Narodowa - kartoteka autorytatywna
Gabriela Dudek-Waligóra,Biblioteka Narodowa - kartoteka autorytatywna
Vladimir Mihajlovič Brahnov,Biblioteka Narodowa - kartoteka autorytatywna
Ewa Reszke,Biblioteka Narodowa - kartoteka autorytatywna
Dorota Czyż,Biblioteka Narodowa - kartoteka autorytatywna
Anna Maria Krasucka,Biblioteka Narodowa - kartoteka autorytatywna
Sylwia Gawłowska,Biblioteka Narodowa - kartoteka autorytatywna
Karl Förster,Biblioteka Narodowa - kartoteka autorytatywna
Matthias Martini,Biblioteka Narodowa - kartoteka autorytatywna
Blanka Skórska,Biblioteka Narodowa - kartoteka autorytatywna
Johann Christian Krumbholtz,Biblioteka Narodowa - kartoteka autorytatywna
Francesco Ardolino,Biblioteka Narodowa - kartoteka autorytatywna
Karolina Matuszewska,Biblioteka Narodowa - kartoteka autorytatywna
Marek Pieczara,Biblioteka Narodowa - kartoteka autorytatywna
Abdul Anbievič Gusejnov,Biblioteka Narodowa - kartoteka autorytatywna
Gabriela Gańczarczyk,Biblioteka Narodowa - kartoteka autorytatywna
Ìzolda Uladzìmìraǔna Kìvel,Biblioteka Narodowa - kartoteka autorytatywna
Milena Vsevolodovna Roždestvenskaâ,Biblioteka Narodowa - kartoteka autorytatywna
Jakob Hertel,Biblioteka Narodowa - kartoteka autorytatywna
Nikolaj Andreevič Slavâtinskij,Biblioteka Narodowa - kartoteka autorytatywna
Pavel Ìvanavìč Navumenka,Biblioteka Narodowa - kartoteka autorytatywna
Klaus Schaefer,Biblioteka Narodowa - kartoteka autorytatywna
Stéphanie Anthonioz,Biblioteka Narodowa - kartoteka autorytatywna
Franciszek Ksawery Smolka,Biblioteka Narodowa - kartoteka autorytatywna
Jan Zięba,Biblioteka Narodowa - kartoteka autorytatywna
Peter Edelenbos,Biblioteka Narodowa - kartoteka autorytatywna
Jolanta Jóźwiak,Biblioteka Narodowa - kartoteka autorytatywna
Tomasz P. Bocheński,Biblioteka Narodowa - kartoteka autorytatywna
Èleonora Fedorovna Šafranskaâ,Biblioteka Narodowa - kartoteka autorytatywna
Tamara Vâčeslavovna Matveeva,Biblioteka Narodowa - kartoteka autorytatywna
Helena Duffy,Biblioteka Narodowa - kartoteka autorytatywna
Heinrich Karl Brandes,Biblioteka Narodowa - kartoteka autorytatywna
Mateusz Król,Biblioteka Narodowa - kartoteka autorytatywna
