entity,source
Palpatine,Biblioteka Narodowa - kartoteka autorytatywna
Nilson Makówka,Biblioteka Narodowa - kartoteka autorytatywna
Gabrysia Bzik,Biblioteka Narodowa - kartoteka autorytatywna
Andrzej Kmicic,Biblioteka Narodowa - kartoteka autorytatywna
Emi,Biblioteka Narodowa - kartoteka autorytatywna
Koszmarny Karolek,Biblioteka Narodowa - kartoteka autorytatywna
Sam Fargo,Biblioteka Narodowa - kartoteka autorytatywna
Remi Fargo,Biblioteka Narodowa - kartoteka autorytatywna
Barnaba Uszkier,Biblioteka Narodowa - kartoteka autorytatywna
Barbara Niechcic,Biblioteka Narodowa - kartoteka autorytatywna
Bogumił Niechcic,Biblioteka Narodowa - kartoteka autorytatywna
Kot w butach,1600 postaci literackich | Biblioteka Narodowa - kartoteka autorytatywna | Szkolny słownik bohaterów literackich | Bohaterowie naszych książek. Leksykon | Słownik postaci literackich (Makowiecki)
Złotowłosa,Biblioteka Narodowa - kartoteka autorytatywna
Pippi Långstrump,Biblioteka Narodowa - kartoteka autorytatywna
Kapitan Załganow,Biblioteka Narodowa - kartoteka autorytatywna
Elena z Avaloru,Biblioteka Narodowa - kartoteka autorytatywna
Velvet Templeton,Biblioteka Narodowa - kartoteka autorytatywna
Kate Evans,Biblioteka Narodowa - kartoteka autorytatywna
Herbert Asch,Biblioteka Narodowa - kartoteka autorytatywna
Kopciuszek,1600 postaci literackich | Biblioteka Narodowa - kartoteka autorytatywna | Szkolny słownik bohaterów literackich | Bohaterowie naszych książek. Leksykon | Słownik postaci literackich (Makowiecki)
Jean le Flambeur,Biblioteka Narodowa - kartoteka autorytatywna
Ryszard Nienaski,Biblioteka Narodowa - kartoteka autorytatywna
Adonis Johnson,Biblioteka Narodowa - kartoteka autorytatywna
Wilhelm Tell,Biblioteka Narodowa - kartoteka autorytatywna
Landon Gibson,Biblioteka Narodowa - kartoteka autorytatywna
Anton Gorodecki,Biblioteka Narodowa - kartoteka autorytatywna
Rocky Balboa,Biblioteka Narodowa - kartoteka autorytatywna
Koszałek-Opałek,Szkolny słownik bohaterów literackich | Biblioteka Narodowa - kartoteka autorytatywna | Słownik postaci literackich (Makowiecki)
Komisarz Kruk,Biblioteka Narodowa - kartoteka autorytatywna
Anita Herbst,Biblioteka Narodowa - kartoteka autorytatywna
Bambi,Biblioteka Narodowa - kartoteka autorytatywna | Bohaterowie naszych książek. Leksykon
Tomcio Paluch,Biblioteka Narodowa - kartoteka autorytatywna | 1600 postaci literackich | Bohaterowie naszych książek. Leksykon | Słownik postaci literackich (Makowiecki)
Max Kwietniewski (postać fikcyjna),Biblioteka Narodowa - kartoteka autorytatywna
Czarna Wdowa,Biblioteka Narodowa - kartoteka autorytatywna
Jessica Jones,Biblioteka Narodowa - kartoteka autorytatywna
Arlekin,Biblioteka Narodowa - kartoteka autorytatywna | 1600 postaci literackich | Słownik postaci literackich (Makowiecki)
Bernard Żbik,Biblioteka Narodowa - kartoteka autorytatywna
Tarzan,Biblioteka Narodowa - kartoteka autorytatywna | 1600 postaci literackich | Bohaterowie naszych książek. Leksykon | Słownik postaci literackich (Makowiecki)
Pawełek Chabrowicz,Biblioteka Narodowa - kartoteka autorytatywna
Janeczka Chabrowicz,Biblioteka Narodowa - kartoteka autorytatywna
Piotr Klucha,Biblioteka Narodowa - kartoteka autorytatywna
Prosiaczek,Szkolny słownik bohaterów literackich | Biblioteka Narodowa - kartoteka autorytatywna | Słownik postaci literackich (Makowiecki)
Kłapouchy,Biblioteka Narodowa - kartoteka autorytatywna | Słownik postaci literackich (Makowiecki)
Iron Man,Biblioteka Narodowa - kartoteka autorytatywna
Don Juan,1600 postaci literackich | Biblioteka Narodowa - kartoteka autorytatywna | Szkolny słownik bohaterów literackich | Słownik bohaterów literackich | Słownik postaci literackich (Makowiecki)
Słoń Elmer,Biblioteka Narodowa - kartoteka autorytatywna
Shrek,Biblioteka Narodowa - kartoteka autorytatywna
Daniel Hawthorne,Biblioteka Narodowa - kartoteka autorytatywna
Jaś i Małgosia,Biblioteka Narodowa - kartoteka autorytatywna | 1600 postaci literackich | Słownik postaci literackich (Makowiecki)
Robert Karcz,Biblioteka Narodowa - kartoteka autorytatywna
Emil Żądło,Biblioteka Narodowa - kartoteka autorytatywna
Klara Schulz,Biblioteka Narodowa - kartoteka autorytatywna
Pierrot,Biblioteka Narodowa - kartoteka autorytatywna | 1600 postaci literackich | Słownik postaci literackich (Makowiecki)
Don Kichot,Biblioteka Narodowa - kartoteka autorytatywna | Bohaterowie naszych książek. Leksykon
Decepticony,Biblioteka Narodowa - kartoteka autorytatywna
Autoboty,Biblioteka Narodowa - kartoteka autorytatywna
Transformers,Biblioteka Narodowa - kartoteka autorytatywna
Auggie Pullman,Biblioteka Narodowa - kartoteka autorytatywna
Scot Harvath,Biblioteka Narodowa - kartoteka autorytatywna
Lech,Szkolny słownik bohaterów literackich | Biblioteka Narodowa - kartoteka autorytatywna | Słownik postaci mitycznych w literaturze i sztuce | Słownik postaci literackich (Makowiecki)
Karolina,Biblioteka Narodowa - kartoteka autorytatywna | Słownik postaci literackich (Makowiecki)
Daniel Podgórski,Biblioteka Narodowa - kartoteka autorytatywna
Dziunia,Biblioteka Narodowa - kartoteka autorytatywna
Sinobrody,Biblioteka Narodowa - kartoteka autorytatywna | 1600 postaci literackich | Słownik postaci literackich (Makowiecki)
Królewna Śnieżka,Biblioteka Narodowa - kartoteka autorytatywna | 1600 postaci literackich
Tess Chaykin,Biblioteka Narodowa - kartoteka autorytatywna
Sean Reilly,Biblioteka Narodowa - kartoteka autorytatywna
Cotton Malone,Biblioteka Narodowa - kartoteka autorytatywna
Romeo Monteki,Biblioteka Narodowa - kartoteka autorytatywna
Julia Kapulet,Biblioteka Narodowa - kartoteka autorytatywna
Katarzyna Minola,Biblioteka Narodowa - kartoteka autorytatywna
Bianka Minola,Biblioteka Narodowa - kartoteka autorytatywna
Anita Blake,Biblioteka Narodowa - kartoteka autorytatywna
