entity,source
Elżbieta Kaźmierczak-Maciejewska,Biblioteka Narodowa - kartoteka autorytatywna
Paul Wiegler,Biblioteka Narodowa - kartoteka autorytatywna
Samuel Charters,Biblioteka Narodowa - kartoteka autorytatywna
Elsa Staudemeyer,Biblioteka Narodowa - kartoteka autorytatywna
Jerzy J. Maciuszko,Biblioteka Narodowa - kartoteka autorytatywna
Věra Macháčková-Riegerová,Biblioteka Narodowa - kartoteka autorytatywna
F. R. Ludman,Biblioteka Narodowa - kartoteka autorytatywna
Norman Cameron,Biblioteka Narodowa - kartoteka autorytatywna
Constance McNab,Biblioteka Narodowa - kartoteka autorytatywna
Boris Dimitrov Paraškevov,Biblioteka Narodowa - kartoteka autorytatywna
