entity,source
Biblioteka i Centrum Kultury Gminy Wejherowo,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka im. Janusza Kurtyki,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka im. Poli Sterling-Okuniewskiej,Biblioteka Narodowa - kartoteka autorytatywna
Bìblìoteka ìm. Simona Petlûri,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka im. Stebelskich,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Instytutu Botaniki,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Instytutu Ekonomii i Zarządzania,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Instytutu Fizyki,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Instytutu Historii i Archiwistyki,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Instytutu Historii Uniwersytetu Łódzkiego,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Instytutu Kultury Europejskiej,Biblioteka Narodowa - kartoteka autorytatywna
"Biblioteka Instytutu Maryjno-Kolbiańskiego ""Kolbianum""",Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Instytutu Matematycznego,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Instytutu Nauk o Informacji i Mediach,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Instytutu Nauk Prawnych Polskiej Akademii Nauk,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Julińska,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Kapitulna,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Katedralna,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Katedralna,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Kazańskiego Uniwersytetu Państwowego,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Klasztoru Franciszkanów,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Klasztoru Szkockiego,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Klasztoru Świętej Katarzyny na Górze Synaj,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Kolegium Filozoficzno-Teologicznego Polskiej Prowincji Dominikanów,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Kolegium Jezuitów,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Kolegium Pijarskiego,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka kościoła imienia Żłóbka Chrystusa,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka kościoła Mariackiego w Stargardzie,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Krajowa,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Laurenziana,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Lawendowa,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Lubelskiego Towarzystwa Lekarskiego,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Magistratu,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Manhattan,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Mariacka,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Matice srpske,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Medyczna,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Middle Temple,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Miejska,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Miejska,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Miejska,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Miejska,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Miejska im. M. Musierowicz .,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Miejska im. Wacława Gołowicza,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Międzynarodowego Centrum Kultury,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Międzynarodowej Szkoły Nauk Politycznych,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Ministerstwa Komunikacji,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Muzeum Etnograficznego im. Seweryna Udzieli,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Muzeum Miasta Ostrowa Wielkopolskiego,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Muzeum Miejskiego,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Muzeum Narodowego,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Muzeum Pamięci Sybiru,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Muzeum Poczty i Telekomunikacji,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Muzeum Polskiego w Ameryce,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Muzeum Sztuki Współczesnej MOCAK,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Muzeum Warmii i Mazur,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Muzeum Ziemi Śląskiej,Biblioteka Narodowa - kartoteka autorytatywna
Biblioteka Narodowa,Biblioteka Narodowa - kartoteka autorytatywna
