entity,source
Tadeusz Skutnik,Biblioteka Narodowa - kartoteka autorytatywna
Artur Wodarski,Biblioteka Narodowa - kartoteka autorytatywna
Brian Jay Jones,Biblioteka Narodowa - kartoteka autorytatywna
Maria Suska-Klink,Biblioteka Narodowa - kartoteka autorytatywna
Piotr C.,Biblioteka Narodowa - kartoteka autorytatywna
Mariusz Tomiczek,Biblioteka Narodowa - kartoteka autorytatywna
Aleksandr Mihajlovič Kabanov,Biblioteka Narodowa - kartoteka autorytatywna
Gjoko Zdraveski,Biblioteka Narodowa - kartoteka autorytatywna
Andrej Grišaev,Biblioteka Narodowa - kartoteka autorytatywna
Pascal Laugier,Biblioteka Narodowa - kartoteka autorytatywna
Mia Bloom,Biblioteka Narodowa - kartoteka autorytatywna
Joseph Tuccio,Biblioteka Narodowa - kartoteka autorytatywna
Jerzy Ziarnik,Biblioteka Narodowa - kartoteka autorytatywna
Awrohem Poliwa,Biblioteka Narodowa - kartoteka autorytatywna
Grant M. Glenn,Biblioteka Narodowa - kartoteka autorytatywna
Friedrich Lorenz,Biblioteka Narodowa - kartoteka autorytatywna
Hans Franck,Biblioteka Narodowa - kartoteka autorytatywna
Jonas Mackonis,Biblioteka Narodowa - kartoteka autorytatywna
Yannick Murphy,Biblioteka Narodowa - kartoteka autorytatywna
Ryszard Milczewski-Bruno,Biblioteka Narodowa - kartoteka autorytatywna
Pierre Gripari,Biblioteka Narodowa - kartoteka autorytatywna
Frédéric Boyer,Biblioteka Narodowa - kartoteka autorytatywna
Antal Stašek,Biblioteka Narodowa - kartoteka autorytatywna
Wayne Weible,Biblioteka Narodowa - kartoteka autorytatywna
Aurelia Mikulińska-Korczyńska,Biblioteka Narodowa - kartoteka autorytatywna
Józef Ratajczak,Leksykon literatury dla dzieci i młodzieży | Biblioteka Narodowa - kartoteka autorytatywna
Alan Noel Latimer Munby,Biblioteka Narodowa - kartoteka autorytatywna
Alain Beaulieu,Biblioteka Narodowa - kartoteka autorytatywna
Claude Carloman de Rulhière,Biblioteka Narodowa - kartoteka autorytatywna
Walentyna Mikołajczyk-Trzcińska,Biblioteka Narodowa - kartoteka autorytatywna
Juraj Kuniak,Biblioteka Narodowa - kartoteka autorytatywna
Margaret Mitchell,Biblioteka Narodowa - kartoteka autorytatywna
Irena Misztal,Biblioteka Narodowa - kartoteka autorytatywna
Jean-Michel Olivier,Biblioteka Narodowa - kartoteka autorytatywna
Antonio Arias,Biblioteka Narodowa - kartoteka autorytatywna
Edgar Quinet,Biblioteka Narodowa - kartoteka autorytatywna
Andrzej Samulowski,Biblioteka Narodowa - kartoteka autorytatywna
Hans Karl Meixner,Biblioteka Narodowa - kartoteka autorytatywna
Stanisław Staszic,Biblioteka Narodowa - kartoteka autorytatywna
Mikołaj Rej,Biblioteka Narodowa - kartoteka autorytatywna
Sonya Cobb,Biblioteka Narodowa - kartoteka autorytatywna
Mathieu Terence,Biblioteka Narodowa - kartoteka autorytatywna
Antoni Marianowicz,Biblioteka Narodowa - kartoteka autorytatywna
Nicolae Constantin Batzaria,Biblioteka Narodowa - kartoteka autorytatywna
Fernand Verhesen,Biblioteka Narodowa - kartoteka autorytatywna
Simon Zack,Biblioteka Narodowa - kartoteka autorytatywna
Volodimir L'vovič Êškìlêv,Biblioteka Narodowa - kartoteka autorytatywna
Artur Maria Swinarski,Biblioteka Narodowa - kartoteka autorytatywna
János Szepsi Macer,Biblioteka Narodowa - kartoteka autorytatywna
Charles Ludlam,Biblioteka Narodowa - kartoteka autorytatywna
Hazel Rowley,Biblioteka Narodowa - kartoteka autorytatywna
Bronisław Chęciński,Biblioteka Narodowa - kartoteka autorytatywna
Paul Fechter,Biblioteka Narodowa - kartoteka autorytatywna
Karl Veken,Biblioteka Narodowa - kartoteka autorytatywna
Madelon Lulofs,Biblioteka Narodowa - kartoteka autorytatywna
Ivo Andrić,Biblioteka Narodowa - kartoteka autorytatywna
Moisej Semenovič Al'tman,Biblioteka Narodowa - kartoteka autorytatywna
Arthur Miller,Biblioteka Narodowa - kartoteka autorytatywna
Henry Miller,Biblioteka Narodowa - kartoteka autorytatywna
Todor Genčov Vlajkov,Biblioteka Narodowa - kartoteka autorytatywna
John Reed,Biblioteka Narodowa - kartoteka autorytatywna
Aleksandr Anatolevič Zubkov,Biblioteka Narodowa - kartoteka autorytatywna
Szymon Starowolski,Biblioteka Narodowa - kartoteka autorytatywna
Zofia Starowieyska-Morstinowa,Biblioteka Narodowa - kartoteka autorytatywna
Friedrich von Schlegel,Biblioteka Narodowa - kartoteka autorytatywna
Friedrich Schiller,Biblioteka Narodowa - kartoteka autorytatywna
Alexander Gumz,Biblioteka Narodowa - kartoteka autorytatywna
Karla Reimert,Biblioteka Narodowa - kartoteka autorytatywna
Jan Kott,Biblioteka Narodowa - kartoteka autorytatywna
Jerzy Kotliński,Biblioteka Narodowa - kartoteka autorytatywna
Bogusław Schaeffer,Biblioteka Narodowa - kartoteka autorytatywna
Macha Louis Rosenthal,Biblioteka Narodowa - kartoteka autorytatywna
Mieczysław Kotlarczyk,Biblioteka Narodowa - kartoteka autorytatywna
Mark Schorer,Biblioteka Narodowa - kartoteka autorytatywna
Boris Sawinkow,Biblioteka Narodowa - kartoteka autorytatywna
Władysław Wróblewski,Biblioteka Narodowa - kartoteka autorytatywna
Jean Paul,Biblioteka Narodowa - kartoteka autorytatywna
Volodimir Kirilovič Vinničenko,Biblioteka Narodowa - kartoteka autorytatywna
Richard Pietrass,Biblioteka Narodowa - kartoteka autorytatywna
Madonna,Biblioteka Narodowa - kartoteka autorytatywna
Guillaume de Lorris,Biblioteka Narodowa - kartoteka autorytatywna
Grzegorz Poźniak,Biblioteka Narodowa - kartoteka autorytatywna
